Trace1,Trace2,Judge,Time1,Time2,Time3
T8_samples6.csv,T4_samples1.csv,4,15521,1488,17009
T8_samples6.csv,T9_samples1.csv,3,16863,1342,18205
T8_samples4.csv,T4_samples7.csv,4,15923,1473,17396
T8_samples4.csv,T4_samples5.csv,3,16822,2636,19458
T8_samples4.csv,T4_samples6.csv,3,14518,1063,15581
T8_samples4.csv,T1_samples1.csv,4,11903,1311,13214
T8_samples4.csv,T4_samples2.csv,4,22322,1978,24300
T2_samples5.csv,T4_samples7.csv,5,17163,1396,18559
T2_samples5.csv,T9_samples2.csv,4,11901,1387,13288
T2_samples5.csv,T8_samples2.csv,4,23205,2130,25335
T2_samples5.csv,T1_samples5.csv,4,18684,1053,19737
T2_samples5.csv,T9_samples4.csv,5,16201,1041,17242
T2_samples5.csv,T8_samples1.csv,5,9641,1516,11157
T2_samples5.csv,T9_samples3.csv,4,12333,2869,15202
T2_samples5.csv,T4_samples2.csv,4,11689,1170,12859
T2_samples5.csv,T9_samples1.csv,3,14420,1895,16315
T8_samples6.csv,T4_samples7.csv,3,25030,2155,27185
T8_samples6.csv,T2_samples2.csv,4,23114,1171,24285
T8_samples6.csv,T4_samples3.csv,4,22532,1125,23657
T8_samples6.csv,T4_samples1.csv,3,12582,1192,13774
T8_samples6.csv,T9_samples1.csv,2,13281,2380,15661
T1_samples1.csv,T4_samples7.csv,3,26288,1915,28203
T1_samples1.csv,T9_samples2.csv,2,15700,1500,17200
T1_samples1.csv,T8_samples4.csv,4,24838,1751,26589
T1_samples1.csv,T9_samples4.csv,2,21383,1296,22679
T1_samples1.csv,T8_samples3.csv,5,12726,1890,14616
T9_samples1.csv,T4_samples7.csv,4,13419,1141,14560
T9_samples1.csv,T2_samples2.csv,4,12669,1098,13767
T9_samples1.csv,T2_samples5.csv,4,18732,1147,19879
T9_samples1.csv,T8_samples2.csv,4,12336,1617,13953
T9_samples1.csv,T8_samples6.csv,4,8893,5274,14167
T9_samples1.csv,T4_samples1.csv,5,10327,1599,11926
T9_samples1.csv,T4_samples6.csv,4,15693,9160,24853
T9_samples1.csv,T2_samples3.csv,4,15474,1118,16592
T9_samples1.csv,T2_samples1.csv,5,9799,1843,11642
T9_samples1.csv,T2_samples4.csv,5,10763,1932,12695
T9_samples1.csv,T8_samples1.csv,4,16058,2387,18445
T9_samples1.csv,T8_samples5.csv,4,9401,1759,11160
T2_samples1.csv,T9_samples2.csv,2,24693,1640,26333
T2_samples1.csv,T4_samples1.csv,4,26897,6429,33326
T2_samples1.csv,T9_samples4.csv,4,15405,2070,17475
T2_samples1.csv,T4_samples6.csv,4,22409,1843,24252
T2_samples1.csv,T1_samples3.csv,4,34988,1919,36907
T2_samples1.csv,T8_samples1.csv,5,16531,1285,17816
T2_samples1.csv,T9_samples3.csv,3,22895,1248,24143
T2_samples1.csv,T4_samples2.csv,2,21712,1179,22891
T2_samples1.csv,T9_samples1.csv,3,19685,1098,20783
T9_samples3.csv,T4_samples7.csv,4,19067,1394,20461
T9_samples3.csv,T2_samples2.csv,4,22138,1763,23901
T9_samples3.csv,T2_samples5.csv,4,31543,1073,32616
T9_samples3.csv,T2_samples3.csv,4,18048,996,19044
T9_samples3.csv,T4_samples6.csv,4,14878,1138,16016
T9_samples3.csv,T2_samples1.csv,5,15853,2175,18028
T9_samples3.csv,T8_samples1.csv,5,10635,1272,11907
T1_samples5.csv,T2_samples5.csv,2,21904,2640,24544
T1_samples5.csv,T4_samples6.csv,5,15190,2109,17299
T1_samples5.csv,T8_samples5.csv,5,10498,910,11408
T2_samples3.csv,T4_samples7.csv,3,22467,2629,25096
T2_samples3.csv,T1_samples4.csv,4,16139,962,17101
T2_samples3.csv,T9_samples2.csv,2,15636,1183,16819
T2_samples3.csv,T9_samples4.csv,5,15726,1275,17001
T2_samples3.csv,T1_samples3.csv,4,21292,2261,23553
T2_samples3.csv,T8_samples1.csv,5,11298,1176,12474
T2_samples3.csv,T8_samples7.csv,3,17983,2064,20047
T2_samples3.csv,T9_samples3.csv,3,14968,1669,16637
T2_samples3.csv,T4_samples2.csv,4,12033,1622,13655
T2_samples3.csv,T9_samples1.csv,4,10280,3411,13691
T8_samples2.csv,T4_samples7.csv,3,11893,4498,16391
T8_samples2.csv,T2_samples5.csv,2,13393,1047,14440
T8_samples2.csv,T4_samples5.csv,4,11019,972,11991
T8_samples2.csv,T4_samples6.csv,4,11269,1024,12293
T8_samples2.csv,T9_samples4.csv,3,21822,1968,23790
T8_samples2.csv,T2_samples4.csv,2,10019,1568,11587
