10,22,FILTER,FIREWALL,DSTIP = '10.32.0.100' AND SRCIP >= '172.23.0.0' AND SRCIP < '172.24.0.0' AND DSTPORT = '80' AND Operation <> 'Deny',1
11,34,FILTER,FIREWALL,DSTPORT = '53' AND SRCIP = '172.23.0.10',1
12,39,FILTER,FIREWALL,SRCPORT = '80' AND Operations = 'Deny',0
13,40,FILTER,FIREWALL,SRCPORT = '80' AND Operations = 'Deny' AND DSTIP >= '172.23.0.0' AND DSTIP < '172.24.0.0' AND SRCIP >= '10.32.0.0' AND SRCIP < '10.33.0.0',1
14,45,FILTER,FIREWALL,Priority = 'Critical',0
15,46,FILTER,FIREWALL,Priority = 'Alert',0
16,47,FILTER,FIREWALL,Priority <> 'Info',0
17,48,FILTER,FIREWALL,Priority <> 'Info' AND DSTPORT = '21',0
