7,16,FILTER,IDS,SRCPORT = '6667',0
8,17,FILTER,IDS,DSTPORT = '6667' AND SRCIP > '10.32.5.50' AND SRCIP < '10.33.0.0' AND DSTIP >= '172.23.0.0' AND DSTIP < '172.24.0.0',1
9,21,FILTER,IDS,SRCIP > '10.32.5.50' AND SRCIP < '10.33.0.0',0
10,22,FILTER,IDS,DSTPORT = '6667' AND DSTIP >= '172.23.0.0' AND DSTIP < '172.24.0.0' AND SRCIP = '172.23.233.150',0
11,23,FILTER,IDS,SRCIP = '172.23.233.150' AND DSTIP = '172.23.233.150',0
12,24,FILTER,IDS,DSTIP = '172.23.233.150',0
13,25,FILTER,FIREWALL,Operation = 'Deny',0
14,28,FILTER,FIREWALL,SRCIP = '172.23.233.150',0
