1,1,FILTER,FIREWALL,DSTPORT = '6667',0
2,3,FILTER,FIREWALL,DSTPORT <> '6667' AND SRCIP > '172.23.0.0' AND SRCIP < '172.24.0.0' AND DSTIP > '10.32.5.50' AND DSTIP < '10.33.0.0',1
3,6,FILTER,FIREWALL,DSTPORT <> '6667',0
4,7,FILTER,FIREWALL,DSTPORT = '445',0
5,8,FILTER,FIREWALL,SRCPORT = '445',0
6,9,FILTER,FIREWALL,DSTPORT <> '6667' AND DSTPORT <> '445',0
7,10,FILTER,FIREWALL,DSTPORT = '22',0
8,14,FILTER,FIREWALL,DSTPORT = '139',0
