1,0,FILTER,IDS,SRCPORT = '6667' AND DSTIP >= '172.23.0.0' AND DSTIP < '172.24.0.0' AND SRCIP  >= '10.32.0.0' AND SRCIP < '10.33.0.0',1
2,9,FILTER,IDS,DSTPORT = '445' AND DSTIP = '172.23.0.10',0
3,10,FILTER,IDS,DSTPORT = '445' AND DSTIP = '172.23.0.10' AND SRCIP >= '172.23.0.0' AND SRCIP < '172.24.0.0',1
4,19,FILTER,IDS,DSTPORT = '445' AND DSTIP =  '172.23.0.10' AND Description = '[1:2103003:7] GPL NETBIOS SMB-DS Session Setup NTMLSSP unicode asn1 overflow attempt',1
5,25,FILTER,FIREWALL,DSTPORT = '6667' AND SRCIP >= '172.23.0.0' AND SRCIP < '172.24.0.0' AND DSTIP >=  '10.32.5.50' AND DSTIP < '10.33.0.0',1
6,30,FILTER,FIREWALL,DSTPORT <> '6667',0
7,31,FILTER,FIREWALL,DSTPORT <> '6667' AND DSTPORT <> '80',0
8,32,FILTER,FIREWALL,DSTPORT <> '6667' AND DSTPORT <> '80' AND SRCPORT <> '80',0
