19,50,FILTER,FIREWALL,Priority <> 'Info' AND SRCIP = 172.23.235.57' AND DSTIP >= '10.32.5.50' AND DSTIP < '10.33.0.0' AND DSTPORT = '21',1
20,54,FILTER,IDS,DSTPORT <> '80',0
21,55,FILTER,IDS,DSTPORT <> '80' AND SRCPORT <> '6667',0
22,56,FILTER,IDS,SRCIP = '172.23.235.57',0
23,57,FILTER,IDS,DSTIP = '172.23.235.57' AND SRCIP >= '10.32.0.0' AND SRCIP < '10.33.0.0' AND SRCPORT = '6667',1
24,60,FILTER,FIREWALL,SRCIP = '172.23.235.57' AND DSTIP >= '10.32.5.50' AND DSTIP < '10.33.0.0' AND DSTPORT = '6667',1
25,65,FILTER,FIREWALL,DSTIP = '10.32.5.56' AND SRCIP >= '172.23.0.0' AND SRCIP < '172.24.0.0' AND DSTPORT = '6667',1
26,69,FILTER,FIREWALL,DSTIP = '10.32.5.51',0
