13,21,FILTER,FIREWALL,Priority = 'critical',0
14,22,FILTER,FIREWALL,Priority = 'alert',0
15,23,FILTER,FIREWALL,Priority = 'warning',0
16,24,FILTER,FIREWALL,DSTPORT = '21' AND Priority = 'warning',0
17,25,FILTER,FIREWALL,DSTPORT = '21' AND Priority = 'warning' AND Operation = 'Deny',0
18,26,FILTER,FIREWALL,DSTPORT = '21' AND Priority = 'warning' AND Operation = 'Deny' AND DSTIP = '10.32.5.51' AND SRCIP = '172.23.235.57',1
19,31,FILTER,FIREWALL,DSTPORT = '6667',0
20,32,FILTER,IDS,DSTPORT = '6667',0
