DSTPORT,,,,,,,,SRCPORT,,,,,,,,SRCIP,,,,,,,,DSTIP,,,,,,,,
6667,6667,6667,445,445,,,,445,6667,,,,,,,172.23,,,,,,,,10.32,,,,,,,,1
6667,445,,,,,,,445,6667,,,,,,,172.23,10.1,,,,,,,10.32,10.32,,,,,,,
