13,23,SEARCH,FIREWALL,SrcPort = '6667',0
14,23,SEARCH,FIREWALL,DesPort = '6667',0
15,24,FILTER,FIREWALL,Operation <> 'Deny' AND DSTPORT = '6667',0
16,27,FILTER,FIREWALL,Operation <> 'Deny' AND DSTPORT = '6667' AND SRCIP > '172.23.0.0' AND SRCIP < '172.24.0.0' AND DSTIP > '10.32.5.50' AND DSTIP < '10.33.0.0',1
17,30,FILTER,FIREWALL,DSTIP >= '172.23.0.0' AND DSTIP < '172.24.0.0',0
18,31,SEARCH,FIREWALL,SrcPort = '6667',0
19,31,SEARCH,FIREWALL,DesPort = '6667',0
20,32,FILTER,FIREWALL,DSTPORT = '6667',0
