10,22,FILTER,IDS,DSTPORT = '6667' AND DSTIP >= '172.23.0.0' AND DSTIP < '172.24.0.0' AND SRCIP = '172.23.233.150',0
11,23,FILTER,IDS,SRCIP = '172.23.233.150' AND DSTIP = '172.23.233.150',0
12,24,FILTER,IDS,DSTIP = '172.23.233.150',0
13,25,FILTER,FIREWALL,Operation = 'Deny',0
14,28,FILTER,FIREWALL,SRCIP = '172.23.233.150',0
15,29,FILTER,FIREWALL,DSTPORT = '80' AND DSTIP >= '10.32.5.0' AND DSTIP < '10.33.0.0' AND SRCIP = '172.23.233.150',1
16,34,FILTER,FIREWALL,SRCIP = '172.23.0.219',0
17,35,FILTER,FIREWALL,SRCIP = '172.23.0.219' AND DSTIP = '172.23.0.10' AND DSTPORT = '445',0
