1,0,FILTER,FIREWALL,Operation = 'Deny',0
2,2,FILTER,IDS,Operation = 'Deny',0
3,3,SEARCH,FIREWALL,SrcPort = '6667',0
4,3,SEARCH,FIREWALL,DesPort = '6667',0
5,4,FILTER,IDS,SRCIP >= '10.32.5.50' AND SRCIP < '10.33.0.0' AND DSTIP >= '172.23.0.0' AND DSTIP < '172.24.0.0' AND SRCPORT = '6667',0
6,5,FILTER,IDS,SRCIP >= '10.32.5.50' AND SRCIP < '10.33.0.0' AND SRCPORT = '6667',1
7,14,FILTER,IDS,DSTPORT = '445',0
8,15,FILTER,IDS,DSTIP = '172.23.0.10' AND SRCIP >= '172.23.0.0' AND SRCIP < '172.24.0.0' AND DSTPORT = '445',1
